# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 04:42:23 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '% b%'   nejvnitrnejsi planety
# CONSTRAINT:  and pl_orbperstr not null            znama perioda obehu
# CONSTRAINT:  and pl_orbsmaxstr not null           znama hl. poloosa
# CONSTRAINT:  and pl_radestr not null              znamy polomer planety
# CONSTRAINT:  and pl_bmassestr not null            znama hmotnost planety
# CONSTRAINT:  and pl_bmassprov like '%mass%'       hmotnost dokazana
# CONSTRAINT:  and pl_orbeccenstr not null)         znama vystrednost
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_mass,st_masserr1,st_masserr2,st_masslim
HD 190984 b,1,1,Radial Velocity,2009,0,4885.00000000,1600.00000000,-1600.00000000,0,5.500000,,,0,13.000,,,0,1.160,,,0,1137.82570,381.39409,-143.02278,0,3.58000,1.20000,-0.45000,0,Mass,0.570000,0.100000,-0.100000,0,0,0.91,,,0
HD 191806 b,1,1,Radial Velocity,2016,0,1603.38923000,9.94172000,-11.31279000,0,2.749000,0.106000,-0.118000,0,12.500,,,0,1.120,,,0,2966.61035,292.08431,-270.78980,0,9.33400,0.91900,-0.85200,0,Mass,0.213000,0.029000,-0.028000,0,0,1.07,0.13,-0.13,0
HD 191939 b,1,6,Transit,2020,0,8.88032560,0.00000470,-0.00000470,0,0.080400,0.002500,-0.002300,0,3.410,0.075,-0.075,0,0.304,0.007,-0.007,0,10.00000,0.70000,-0.70000,0,0.03146,0.00220,-0.00220,0,Mass,0.031000,0.010000,-0.011000,0,0,0.81,0.04,-0.04,0
HD 194490 b,1,1,Radial Velocity,2022,0,13092.18348000,3494.64637000,-2509.99734000,0,11.116000,2.007000,-1.511000,0,12.400,,,0,1.110,,,0,3561.90296,560.64931,-422.39395,0,11.20700,1.76400,-1.32900,0,Mass,0.251000,0.105000,-0.094000,0,0,1.06,0.13,-0.13,0
HD 196050 b,3,1,Radial Velocity,2002,0,1392.00000000,4.00000000,-4.00000000,0,2.650000,0.030000,-0.030000,0,12.900,,,0,1.150,,,0,1493.79351,254.26273,-254.26273,0,4.70000,0.80000,-0.80000,0,Mass,0.200000,0.010000,-0.010000,0,0,1.27,0.06,-0.06,0
HD 196067 b,2,1,Radial Velocity,2012,0,3638.00000000,232.00000000,-185.00000000,0,5.020000,0.190000,-0.190000,0,12.300,,,0,1.100,,,0,3972.85509,794.57102,-572.09113,0,12.50000,2.50000,-1.80000,0,Mass,0.660000,0.180000,-0.090000,0,0,1.29,0.08,-0.08,0
HD 202772 A b,2,1,Transit,2019,0,3.30895800,0.00008300,-0.00008300,0,0.052080,0.000640,-0.000680,0,17.318,0.583,-0.673,0,1.545,0.052,-0.060,0,323.23311,22.24810,-21.61244,0,1.01700,0.07000,-0.06800,0,Mass,0.038000,0.042000,-0.027000,0,0,1.72,0.06,-0.07,0
HD 20329 b,1,1,Transit,2022,0,0.92611800,0.00005000,-0.00004300,0,0.018000,0.000300,-0.000300,0,1.720,0.070,-0.070,0,0.153,0.006,-0.006,0,7.42000,1.09000,-1.09000,0,0.02335,0.00343,-0.00343,0,Mass,0.000000,,,0,0,0.90,0.05,-0.05,0
HD 204313 b,1,3,Radial Velocity,2010,0,2041.11539000,1.68088000,-1.86675000,0,3.185000,0.130000,-0.143000,0,12.900,,,0,1.150,,,0,1466.77810,409.99865,-97.25549,0,4.61500,1.29000,-0.30600,0,Mass,0.100000,0.003000,-0.003000,0,0,1.03,0.13,-0.13,0
HD 206893 b,1,2,Imaging,2021,0,9350.00000000,440.00000000,-440.00000000,0,9.600000,0.400000,-0.300000,0,14.011,0.224,-0.224,0,1.250,0.020,-0.020,0,8899.19540,699.22250,-667.43965,0,28.00000,2.20000,-2.10000,0,Mass,0.140000,0.050000,-0.050000,0,0,1.32,0.07,-0.05,0
HD 207496 b,1,1,Transit,2023,0,6.44100800,0.00001100,-0.00001100,0,0.062900,0.001100,-0.001100,0,2.250,0.120,-0.100,0,0.201,0.011,-0.009,0,6.10000,1.60000,-1.60000,0,0.01919,0.00503,-0.00503,0,Mass,0.231000,0.042000,-0.049000,0,0,0.80,0.04,-0.04,0
HD 207897 b,1,1,Transit,2021,0,16.20166000,0.00001600,-0.00001600,0,0.117000,0.002000,-0.002000,0,2.343,0.124,-0.092,0,0.209,0.011,-0.008,0,14.80000,1.50000,-1.40000,0,0.04657,0.00472,-0.00440,0,Mass,0.000000,,,0,0,0.82,0.02,-0.03,0
HD 209458 b,1,1,Radial Velocity,1999,0,3.52474859,0.00000038,-0.00000038,0,0.047070,0.000450,-0.000470,0,15.581,0.224,-0.224,0,1.390,0.020,-0.020,0,232.01590,12.71320,-12.71320,0,0.73000,0.04000,-0.04000,0,Mass,0.000000,,,0,0,1.23,0.09,-0.09,0
HD 213240 b,2,1,Radial Velocity,2001,0,882.70001000,7.60000000,-7.60000000,0,1.890000,0.030000,-0.030000,0,12.800,,,0,1.140,,,0,1655.88600,476.74261,-155.73592,0,5.21000,1.50000,-0.49000,0,Mass,0.420000,0.010000,-0.010000,0,0,1.57,0.12,-0.12,0
HD 213885 b,1,2,Transit,2019,0,1.00803500,0.00002100,-0.00002000,0,0.020120,0.000150,-0.000120,0,1.745,0.051,-0.052,0,0.156,0.005,-0.005,0,8.83000,0.66000,-0.65000,0,0.02778,0.00208,-0.00205,0,Mass,0.000000,,,0,0,1.07,0.02,-0.02,0
HD 214823 b,2,1,Radial Velocity,2016,0,1854.84424000,1.35690000,-1.41722000,0,3.080000,0.126000,-0.139000,0,12.100,,,0,1.080,,,0,5914.78665,1316.76309,-339.75857,0,18.61000,4.14300,-1.06900,0,Mass,0.161000,0.003000,-0.003000,0,0,1.11,0.14,-0.14,0
HD 216437 b,1,1,Radial Velocity,2002,0,1359.00000000,1.00000000,-1.00000000,0,2.570000,0.040000,-0.040000,0,13.000,,,0,1.160,,,0,1334.87931,222.47988,-222.47988,0,4.20000,0.70000,-0.70000,0,Mass,0.310000,0.010000,-0.010000,0,0,1.22,0.06,-0.06,0
HD 217786 b,2,2,Radial Velocity,2011,0,1301.36009000,1.17486000,-0.48567000,0,2.446000,0.109000,-0.119000,0,12.300,,,0,1.100,,,0,4402.55909,402.68859,-416.67304,0,13.85200,1.26700,-1.31100,0,Mass,0.311000,0.002000,-0.003000,0,0,1.14,0.16,-0.16,0
HD 217958 b,1,1,Radial Velocity,2022,0,2560.19774000,66.52293000,-91.15204000,0,3.758000,0.169000,-0.200000,0,14.200,,,0,1.270,,,0,166.54209,110.28646,-20.02319,0,0.52400,0.34700,-0.06300,0,Mass,0.156000,0.093000,-0.081000,0,0,1.08,0.14,-0.14,0
HD 219077 b,1,1,Radial Velocity,2012,0,5478.68861000,48.63475000,-38.25330000,0,5.935000,0.249000,-0.265000,0,12.500,,,0,1.110,,,0,3057.50928,318.14624,-232.96822,0,9.62000,1.00100,-0.73300,0,Mass,0.768000,0.002000,-0.002000,0,0,0.92,0.12,-0.12,0
HD 219134 b,1,6,Radial Velocity,2015,0,3.09292600,0.00001000,-0.00001000,0,0.038760,0.000470,-0.000470,0,1.602,0.055,-0.055,0,0.143,0.005,-0.005,0,4.74000,0.19000,-0.19000,0,0.01491,0.00060,-0.00060,0,Mass,0.000000,,,0,0,0.81,0.03,-0.03,0
HD 219666 b,1,1,Transit,2018,0,6.04345000,0.00001000,-0.00001000,0,0.104000,0.005000,-0.005000,0,4.240,0.160,-0.160,0,0.378,0.014,-0.014,0,16.60000,1.30000,-1.30000,0,0.05223,0.00409,-0.00409,0,Mass,0.000000,,,0,0,0.92,0.03,-0.03,0
HD 220689 b,1,1,Radial Velocity,2012,0,2266.40000000,65.84000000,-58.77000000,0,3.396000,0.084000,-0.081000,0,13.700,,,0,1.220,,,0,381.39409,69.92225,-34.96112,0,1.20000,0.22000,-0.11000,0,Mass,0.054000,0.061000,-0.038000,0,0,1.02,0.05,-0.05,0
HD 221416 b,1,1,Transit,2019,0,14.27670000,0.00370000,-0.00370000,0,0.122800,0.002500,-0.002600,0,9.170,0.340,-0.310,0,0.836,0.031,-0.028,0,60.50000,5.70000,-5.70000,0,0.19000,0.01800,-0.01800,0,Mass,0.115000,0.034000,-0.030000,0,0,1.21,0.07,-0.07,0
HD 221420 b,1,1,Radial Velocity,2019,0,10066.00000000,929.00000000,-1125.00000000,0,10.100000,0.700000,-0.700000,0,12.000,,,0,1.070,,,0,6992.22495,635.65681,-635.65681,0,22.00000,2.00000,-2.00000,0,Mass,0.120000,0.040000,-0.030000,0,0,1.34,0.07,-0.07,0
HD 222155 b,1,1,Radial Velocity,2011,0,3999.00000000,500.00000000,-500.00000000,0,5.140000,0.460000,-0.460000,0,13.400,,,0,1.200,,,0,581.62598,111.23994,-82.63539,0,1.83000,0.35000,-0.26000,0,Mass,0.160000,0.220000,-0.220000,0,0,1.21,0.10,-0.10,0
HD 224538 b,1,1,Radial Velocity,2016,0,1202.05199000,3.88199000,-3.68089000,0,2.375000,0.111000,-0.123000,0,12.700,,,0,1.130,,,0,2075.73733,583.53296,-110.92211,0,6.53100,1.83600,-0.34900,0,Mass,0.476000,0.014000,-0.013000,0,0,1.23,0.18,-0.18,0
HD 23472 b,1,5,Transit,2019,0,17.66708700,0.00004200,-0.00004200,0,0.116200,0.001800,-0.001800,0,2.000,0.110,-0.100,0,0.178,0.010,-0.009,0,8.32000,0.78000,-0.79000,0,0.02618,0.00245,-0.00249,0,Mass,0.072000,0.039000,-0.040000,0,0,0.67,0.03,-0.03,0
HD 235088 b,1,1,Transit,2023,0,7.43415100,0.00001800,-0.00001800,0,0.071000,0.001000,-0.001000,0,2.075,0.093,-0.071,0,0.185,0.008,-0.006,0,4.20000,2.40000,-2.40000,0,0.01321,0.00755,-0.00755,0,Mass,0.000000,,,0,0,0.85,0.02,-0.02,0
HD 23596 b,2,1,Radial Velocity,2003,0,1535.11912000,7.76172000,-9.26013000,0,2.694000,0.107000,-0.118000,0,12.400,,,0,1.100,,,0,3786.60764,314.65012,-561.92062,0,11.91400,0.99000,-1.76800,0,Mass,0.282000,0.017000,-0.014000,0,0,1.10,0.14,-0.14,0
HD 25015 b,1,1,Radial Velocity,2019,0,6134.42700000,618.42583000,-506.67463000,0,6.248000,0.486000,-0.439000,0,12.500,,,0,1.120,,,0,2884.92845,367.72747,-579.40119,0,9.07700,1.15700,-1.82300,0,Mass,0.341000,0.085000,-0.077000,0,0,0.86,0.10,-0.10,0
HD 260655 b,1,2,Transit,2022,0,2.76953000,0.00003000,-0.00003000,0,0.029330,0.000240,-0.000240,0,1.240,0.023,-0.023,0,0.111,0.002,-0.002,0,2.14000,0.34000,-0.34000,0,0.00673,0.00107,-0.00107,0,Mass,0.039000,0.043000,-0.023000,0,0,0.44,0.01,-0.01,0
HD 26161 b,1,1,Radial Velocity,2021,0,10942.29013000,10474.08070000,-1387.88781000,0,10.087000,5.615000,-1.085000,0,11.900,,,0,1.060,,,0,9045.39646,6372.14173,-70.55791,0,28.46000,20.04900,-0.22200,0,Mass,0.922000,0.037000,-0.099000,0,0,1.12,0.15,-0.15,0
HD 2685 b,1,1,Transit,2019,0,4.12688000,0.00005000,-0.00004000,0,0.056800,0.000600,-0.000600,0,16.141,0.560,-0.560,0,1.440,0.050,-0.050,0,371.86110,38.13960,-38.13960,0,1.17000,0.12000,-0.12000,0,Mass,0.091000,0.039000,-0.047000,0,0,1.43,0.05,-0.04,0
HD 27631 b,1,1,Radial Velocity,2012,0,2198.14000000,54.11000000,-50.34000000,0,3.242000,0.070000,-0.068000,0,13.500,,,0,1.210,,,0,495.81231,63.56568,-47.67426,0,1.56000,0.20000,-0.15000,0,Mass,0.141000,0.062000,-0.065000,0,0,0.94,0.03,-0.03,0
HD 28109 b,1,3,Transit,2022,0,22.89104000,0.00035000,-0.00036000,0,0.135700,0.003400,-0.003400,0,2.199,0.098,-0.100,0,0.196,0.009,-0.009,0,18.49600,9.12000,-7.60900,0,0.05819,0.02869,-0.02394,0,Mass,0.330700,,,1,0,1.26,0.08,-0.08,0
HD 28254 b,2,1,Radial Velocity,2010,0,1333.00000000,4.00000000,-4.00000000,0,2.450000,0.030000,-0.040000,0,13.000,,,0,1.160,,,0,1207.74795,953.48522,-699.22250,0,3.80000,3.00000,-2.20000,0,Mass,0.950000,0.030000,-0.040000,0,0,1.10,0.05,-0.05,0
HD 29021 b,1,1,Radial Velocity,2017,0,1362.30000000,4.60000000,-4.00000000,0,2.280000,0.070000,-0.080000,0,12.900,,,0,1.150,,,0,1420.69298,212.94503,-206.58846,0,4.47000,0.67000,-0.65000,0,Mass,0.459000,0.008000,-0.008000,0,0,0.85,0.08,-0.08,0
HD 29985 b,1,1,Radial Velocity,2022,0,20608.14049000,4708.95644000,-7737.11195000,0,13.390000,2.071000,-3.680000,0,12.800,,,0,1.140,,,0,1739.47487,617.85842,-367.72747,0,5.47300,1.94400,-1.15700,0,Mass,0.261000,0.144000,-0.169000,0,0,0.75,0.09,-0.09,0
HD 30177 b,1,2,Radial Velocity,2002,0,2514.53422000,5.21645000,-4.34065000,0,3.604000,0.135000,-0.147000,0,12.600,,,0,1.120,,,0,2670.71210,394.42505,-155.41809,0,8.40300,1.24100,-0.48900,0,Mass,0.207000,0.012000,-0.017000,0,0,0.98,0.12,-0.12,0
HD 30562 b,1,1,Radial Velocity,2009,0,1157.00000000,27.00000000,-27.00000000,0,2.340000,0.060000,-0.060000,0,13.600,,,0,1.210,,,0,467.20776,143.02278,-57.20911,0,1.47000,0.45000,-0.18000,0,Mass,0.760000,0.050000,-0.050000,0,0,1.12,0.07,-0.07,0
HD 3167 b,1,4,Transit,2016,0,0.95964100,0.00001100,-0.00001100,0,0.017960,0.000370,-0.000310,0,1.670,0.170,-0.100,0,0.149,0.015,-0.009,0,4.97000,0.24000,-0.23000,0,0.01564,0.00076,-0.00072,0,Mass,0.000000,,,0,0,0.84,0.05,-0.04,0
HD 32963 b,1,1,Radial Velocity,2015,0,2372.00000000,26.00000000,-26.00000000,0,3.410000,0.020000,-0.020000,0,13.400,,,0,1.190,,,0,657.90480,263.79758,-203.41018,0,2.07000,0.83000,-0.64000,0,Mass,0.070000,0.040000,-0.040000,0,0,0.94,,,0
HD 332231 b,1,1,Transit,2020,0,18.71202400,0.00002300,-0.00002300,0,0.145000,0.003000,-0.003000,0,9.073,0.187,-0.175,0,0.809,0.017,-0.016,0,74.10000,5.60000,-5.40000,0,0.23314,0.01762,-0.01699,0,Mass,0.000000,,,0,0,1.16,0.03,-0.03,0
HD 39091 b,1,3,Radial Velocity,2001,0,2088.75851000,0.40896000,-0.42232000,0,3.311000,0.134000,-0.148000,0,12.400,,,0,1.100,,,0,3917.23512,378.85146,-439.87452,0,12.32500,1.19200,-1.38400,0,Mass,0.642000,0.000700,-0.000600,0,0,1.10,0.14,-0.14,0
HD 42813 b,1,3,Transit,2023,0,13.63082800,0.00002400,-0.00002400,0,0.110000,0.002000,-0.002000,0,3.426,0.097,-0.090,0,0.306,0.009,-0.008,0,5.90000,2.00000,-2.00000,0,0.01856,0.00629,-0.00629,0,Mass,0.000000,,,0,0,0.95,0.03,-0.03,0
HD 44219 b,1,1,Radial Velocity,2010,0,472.00000000,3.00000000,-4.00000000,0,1.260000,0.020000,-0.070000,0,14.100,,,0,1.260,,,0,184.34048,28.60456,-25.42627,0,0.58000,0.09000,-0.08000,0,Mass,0.410000,0.120000,-0.140000,0,0,1.20,0.06,-0.06,0
HD 457 b,1,1,Radial Velocity,2022,0,20324.58153000,11483.95545000,-7039.20037000,0,15.369000,5.561000,-3.797000,0,11.900,,,0,1.070,,,0,8445.33643,5952.29041,-3798.68512,0,26.57200,18.72800,-11.95200,0,Mass,0.565000,0.195000,-0.245000,0,0,1.15,0.15,-0.15,0
HD 50554 b,1,1,Radial Velocity,2002,0,1293.00000000,37.00000000,-37.00000000,0,2.353000,0.045200,-0.045200,0,12.800,,,0,1.140,,,0,1859.29618,286.04557,-165.27077,0,5.85000,0.90000,-0.52000,0,Mass,0.501000,0.030000,-0.030000,0,0,1.04,0.01,-0.01,0
HD 5278 b,1,2,Transit,2021,0,14.33915600,0.00004900,-0.00004700,0,0.120200,0.001300,-0.001300,0,2.450,0.050,-0.050,0,0.219,0.004,-0.004,0,7.80000,1.50000,-1.40000,0,0.02454,0.00472,-0.00440,0,Mass,0.080000,0.090000,-0.050000,0,0,1.13,0.04,-0.04,0
HD 55696 b,1,1,Radial Velocity,2018,0,1827.00000000,10.00000000,-10.00000000,0,3.180000,0.180000,-0.180000,0,12.900,,,0,1.160,,,0,1357.12730,317.82841,-219.30160,0,4.27000,1.00000,-0.69000,0,Mass,0.705000,0.022000,-0.022000,0,0,1.29,0.20,-0.20,0
HD 56957 b,1,1,Radial Velocity,2022,0,5859.08992000,2325.96289000,-959.68304000,0,6.426000,1.564000,-0.867000,0,12.800,,,0,1.140,,,0,1880.90851,915.02798,-1279.57717,0,5.91800,2.87900,-4.02600,0,Mass,0.273000,0.178000,-0.136000,0,0,1.03,0.13,-0.13,0
HD 62364 b,1,2,Radial Velocity,2022,0,5138.00000000,24.00000000,-22.00000000,0,6.150000,0.040000,-0.030000,0,12.100,,,0,1.080,,,0,5965.63920,209.76675,-200.23190,0,18.77000,0.66000,-0.63000,0,Mass,0.607000,0.005000,-0.005000,0,0,1.16,0.03,-0.03,0
HD 62549 b,1,1,Radial Velocity,2022,0,14306.88519000,3762.35334000,-3219.89899000,0,11.842000,2.146000,-1.979000,0,12.600,,,0,1.120,,,0,2707.58020,665.21486,-330.54154,0,8.51900,2.09300,-1.04000,0,Mass,0.150000,0.130000,-0.099000,0,0,1.08,0.13,-0.13,0
HD 63433 b,1,3,Transit,2020,0,7.10793840,0.00000660,-0.00000660,0,0.072000,0.001000,-0.001000,0,2.164,0.058,-0.048,0,0.193,0.005,-0.004,0,37.30000,9.60000,-9.60000,0,0.11736,0.03020,-0.03020,0,Mass,0.000000,,,0,0,0.99,0.02,-0.03,0
HD 63935 b,1,2,Transit,2021,0,9.05880700,0.00001500,-0.00001500,0,0.083000,0.002000,-0.002000,0,2.916,0.093,-0.077,0,0.260,0.008,-0.007,0,10.50000,1.60000,-1.50000,0,0.03304,0.00503,-0.00472,0,Mass,0.000000,,,0,0,0.94,0.03,-0.03,0
HD 66428 b,1,2,Radial Velocity,2005,0,2269.81726000,5.36611000,-5.85401000,0,3.395000,0.141000,-0.157000,0,12.400,,,0,1.110,,,0,3478.94974,776.13697,-1222.05022,0,10.94600,2.44200,-3.84500,0,Mass,0.471000,0.012000,-0.012000,0,0,1.01,0.13,-0.13,0
HD 68402 b,1,1,Radial Velocity,2016,0,1103.00000000,33.00000000,-33.00000000,0,2.180000,0.090000,-0.090000,0,12.600,,,0,1.120,,,0,2510.84442,540.30829,-476.74261,0,7.90000,1.70000,-1.50000,0,Mass,0.030000,0.060000,-0.060000,0,0,1.12,0.05,-0.05,0
HD 69123 b,1,1,Radial Velocity,2022,0,1193.30000000,7.00000000,-7.00000000,0,2.482000,0.010000,-0.010000,0,13.100,,,0,1.170,,,0,982.08978,197.05361,-92.17024,0,3.09000,0.62000,-0.29000,0,Mass,0.190000,0.060000,-0.060000,0,0,1.68,0.09,-0.09,0
HD 70642 b,1,1,Radial Velocity,2003,0,2124.54000000,14.65000000,-13.51000000,0,3.318000,0.022000,-0.021000,0,13.000,,,0,1.160,,,0,1239.53079,92.17024,-85.81367,0,3.90000,0.29000,-0.27000,0,Mass,0.175000,0.044000,-0.044000,0,0,1.08,0.02,-0.02,0
HD 72659 b,1,2,Radial Velocity,2002,0,3549.39854000,18.95929000,-15.59603000,0,4.691000,0.185000,-0.202000,0,13.200,,,0,1.170,,,0,949.67128,821.90426,-31.14718,0,2.98800,2.58600,-0.09800,0,Mass,0.257000,0.014000,-0.016000,0,0,1.09,0.13,-0.13,0
HD 73267 b,1,2,Radial Velocity,2008,0,1257.99159000,0.50697000,-0.60358000,0,2.229000,0.091000,-0.100000,0,13.000,,,0,1.160,,,0,1321.53052,216.44115,-164.95294,0,4.15800,0.68100,-0.51900,0,Mass,0.261000,0.004000,-0.004000,0,0,0.93,0.12,-0.12,0
HD 73344 b,1,1,Transit,2024,0,15.61100000,0.00003000,-0.00003000,0,0.131000,0.000300,-0.000200,0,2.884,0.082,-0.072,0,0.257,0.007,-0.006,0,10.48000,,,1,0.03297,,,1,Mass,0.030000,0.019000,-0.013000,0,0,1.20,0.02,-0.02,0
HD 73583 b,1,2,Transit,2022,0,6.39804200,0.00000670,-0.00000620,0,0.060400,0.002700,-0.002600,0,2.790,0.100,-0.100,0,0.249,0.009,-0.009,0,10.20000,3.40000,-3.10000,0,0.03209,0.01070,-0.00975,0,Mass,0.090000,0.090000,-0.060000,0,0,0.73,0.02,-0.02,0
HD 7449 b,2,1,Radial Velocity,2011,0,1270.55195000,10.75633000,-7.38672000,0,2.438000,0.062000,-0.063000,0,12.600,,,0,1.120,,,0,2597.92940,970.96578,-857.81887,0,8.17400,3.05500,-2.69900,0,Mass,0.752000,0.035000,-0.032000,0,0,1.20,0.09,-0.09,0
HD 75302 b,1,1,Radial Velocity,2023,0,4356.00000000,173.00000000,-112.00000000,0,5.300000,0.200000,-0.100000,0,12.800,,,0,1.140,,,0,1716.27340,158.91420,-127.13136,0,5.40000,0.50000,-0.40000,0,Mass,0.390000,0.100000,-0.110000,0,0,1.06,0.05,-0.05,0
HD 77338 b,1,1,Radial Velocity,2012,0,5.73610000,0.00150000,-0.00150000,0,0.060000,0.000000,0.000000,0,4.120,,,0,0.368,,,0,15.90000,4.70000,-5.30000,0,0.05000,0.01500,-0.01700,0,Mass,0.090000,0.220000,-0.220000,0,0,1.37,0.32,-0.32,0
HD 80606 b,2,1,Radial Velocity,2001,0,111.43670000,0.00040000,-0.00040000,0,0.456500,0.005100,-0.005300,0,11.994,0.336,-0.336,0,1.070,0.030,-0.030,0,1392.09540,235.19420,-235.19420,0,4.38000,0.74000,-0.74000,0,Mass,0.930000,0.000000,0.000000,0,0,1.15,0.27,-0.27,0
HD 80653 b,1,2,Transit,2020,0,0.71957300,0.00002100,-0.00002100,0,0.016610,0.000190,-0.000190,0,1.613,0.071,-0.071,0,0.144,0.006,-0.006,0,5.72000,0.36000,-0.35000,0,0.01800,0.00113,-0.00110,0,Mass,0.000000,,,0,0,1.18,0.04,-0.04,0
HD 80869 b,1,1,Radial Velocity,2021,0,1752.92067000,37.01650000,-33.60283000,0,2.905000,0.127000,-0.131000,0,12.800,,,0,1.150,,,0,1609.80088,809.82678,-179.57305,0,5.06500,2.54800,-0.56500,0,Mass,0.924000,0.053000,-0.094000,0,0,1.06,0.13,-0.13,0
HD 80883 b,1,1,Radial Velocity,2022,0,6383.78352000,2891.20808000,-1084.85967000,0,6.462000,1.843000,-0.804000,0,12.800,,,0,1.140,,,0,1748.05624,390.92894,-335.62680,0,5.50000,1.23000,-1.05600,0,Mass,0.203000,0.185000,-0.121000,0,0,0.88,0.11,-0.11,0
HD 80913 b,1,1,Radial Velocity,2022,0,10839.83341000,2660.45783000,-1973.20021000,0,9.950000,1.683000,-1.410000,0,12.000,,,0,1.070,,,0,7505.20000,1142.27529,-1227.13548,0,23.61400,3.59400,-3.86100,0,Mass,0.313000,0.152000,-0.131000,0,0,1.11,0.14,-0.14,0
HD 81040 b,1,1,Radial Velocity,2005,0,1005.98854000,7.62637000,-6.37242000,0,1.988000,0.076000,-0.081000,0,12.700,,,0,1.130,,,0,2151.06266,349.92908,-273.65026,0,6.76800,1.10100,-0.86100,0,Mass,0.557000,0.046000,-0.067000,0,0,1.03,0.12,-0.12,0
HD 81817 b,1,2,Radial Velocity,2020,0,1021.20159000,13.88370000,-9.89130000,0,3.233000,0.125000,-0.131000,0,12.000,,,0,1.070,,,0,7668.56380,3097.87348,-219.61943,0,24.12800,9.74700,-0.69100,0,Mass,0.097000,0.090000,-0.057000,0,0,4.30,0.50,-0.50,0
HD 82943 b,1,2,Radial Velocity,2003,0,441.47000000,0.35000000,-0.35000000,0,1.183060,0.000620,-0.000620,0,13.500,,,0,1.200,,,0,534.25000,8.89900,-8.89900,0,1.68100,0.02800,-0.02800,0,Mass,0.162000,0.036000,-0.036000,0,0,1.08,0.12,-0.15,0
